1 0 0 1.99422e-14 0
1.05925 0 0 1.88451e-14 5.24277e-16
1.12202 0 0 1.78425e-14 9.60653e-16
1.1885 0 0 1.69242e-14 1.32411e-15
1.25893 0 0 1.6081e-14 1.627e-15
1.33352 0 0 1.5305e-14 1.87949e-15
1.41254 0 0 1.4589e-14 2.08998e-15
1.49624 0 0 1.39267e-14 2.26534e-15
1.58489 0 0 1.33122e-14 2.41122e-15
1.6788 0 0 1.27408e-14 2.53228e-15
1.77828 0 0 1.22078e-14 2.63233e-15
1.88365 0 0 1.17093e-14 2.7145e-15
1.99526 0 0 1.12418e-14 2.78136e-15
2.11349 0 0 1.08022e-14 2.83502e-15
2.23872 0 0 1.03878e-14 2.87722e-15
2.37137 0 0 9.99599e-15 2.90941e-15
2.51189 0 0 9.62475e-15 2.93277e-15
2.66073 0 0 9.27212e-15 2.9483e-15
2.81838 0 0 8.93642e-15 2.95683e-15
2.98538 0 0 8.61616e-15 2.95906e-15
3.16228 0 0 8.31003e-15 2.9556e-15
3.34965 0 0 8.01686e-15 2.94696e-15
3.54813 0 0 7.73562e-15 2.9336e-15
3.75837 0 0 7.46542e-15 2.9159e-15
3.98107 0 0 7.20545e-15 2.89424e-15
4.21697 1.7729e-15 9.87165e-16 6.95501e-15 2.86893e-15
4.46684 2.60828e-15 1.5164e-15 6.71348e-15 2.84026e-15
4.73151 3.23183e-15 1.93813e-15 6.48031e-15 2.80851e-15
5.01187 3.7238e-15 2.2899e-15 6.25501e-15 2.77393e-15
5.30884 4.11504e-15 2.58532e-15 6.03717e-15 2.73677e-15
5.62341 4.42324e-15 2.83202e-15 5.82639e-15 2.69725e-15
5.95662 4.66103e-15 3.03557e-15 5.62233e-15 2.6556e-15
6.30957 4.83843e-15 3.20061e-15 5.42471e-15 2.612e-15
6.68344 4.96391e-15 3.33126e-15 5.23324e-15 2.56668e-15
7.07946 5.04479e-15 3.43129e-15 5.04769e-15 2.51981e-15
7.49894 5.0875e-15 3.50414e-15 4.86784e-15 2.47158e-15
7.94328 5.09767e-15 3.55299e-15 4.69349e-15 2.42217e-15
8.41395 5.08027e-15 3.58076e-15 4.52446e-15 2.37174e-15
8.91251 5.03967e-15 3.59009e-15 4.3606e-15 2.32046e-15
9.44061 4.97969e-15 3.58339e-15 4.20174e-15 2.26848e-15
10 4.90369e-15 3.56284e-15 4.04775e-15 2.21595e-15
10.5925 4.81458e-15 3.53039e-15 3.89849e-15 2.16301e-15
11.2202 4.7149e-15 3.4878e-15 3.75385e-15 2.10978e-15
11.885 4.60684e-15 3.43663e-15 3.61371e-15 2.0564e-15
12.5893 4.4923e-15 3.37828e-15 3.47795e-15 2.00299e-15
13.3352 4.3729e-15 3.31398e-15 3.34648e-15 1.94965e-15
14.1254 4.25005e-15 3.24482e-15 3.21918e-15 1.8965e-15
14.9624 4.12491e-15 3.17176e-15 3.09597e-15 1.84362e-15
15.8489 3.99852e-15 3.09565e-15 2.97673e-15 1.7911e-15
16.788 3.87172e-15 3.01722e-15 2.86139e-15 1.73904e-15
17.7828 3.74523e-15 2.93712e-15 2.74984e-15 1.6875e-15
18.8365 3.61964e-15 2.85592e-15 2.642e-15 1.63656e-15
19.9526 3.49546e-15 2.77409e-15 2.53777e-15 1.58629e-15
21.1349 3.3731e-15 2.69206e-15 2.43707e-15 1.53673e-15
22.3872 3.25287e-15 2.61019e-15 2.33981e-15 1.48794e-15
23.7137 3.13507e-15 2.5288e-15 2.24591e-15 1.43998e-15
25.1189 3.01988e-15 2.44813e-15 2.15527e-15 1.39287e-15
26.6073 2.90748e-15 2.36843e-15 2.06782e-15 1.34666e-15
28.1838 2.79799e-15 2.28987e-15 1.98347e-15 1.30137e-15
29.8538 2.69149e-15 2.21261e-15 1.90214e-15 1.25704e-15
31.6228 2.58804e-15 2.13679e-15 1.82375e-15 1.21369e-15
33.4965 2.48768e-15 2.06251e-15 1.7482e-15 1.17133e-15
35.4813 2.39041e-15 1.98985e-15 1.67544e-15 1.12997e-15
37.5837 2.29624e-15 1.91889e-15 1.60536e-15 1.08964e-15
39.8107 2.20513e-15 1.84966e-15 1.5379e-15 1.05034e-15
42.1697 2.11707e-15 1.78222e-15 1.47298e-15 1.01206e-15
44.6684 2.032e-15 1.71658e-15 1.41053e-15 9.74824e-16
47.3151 1.94988e-15 1.65276e-15 1.35046e-15 9.38624e-16
50.1187 1.87065e-15 1.59076e-15 1.2927e-15 9.03445e-16
53.0884 1.79424e-15 1.53059e-15 1.23718e-15 8.69281e-16
56.2341 1.7206e-15 1.47223e-15 1.18383e-15 8.36146e-16
59.5662 1.64965e-15 1.41567e-15 1.13258e-15 8.04001e-16
63.0957 1.58132e-15 1.36089e-15 1.08335e-15 7.72864e-16
66.8344 1.51555e-15 1.30786e-15 1.03609e-15 7.42701e-16
70.7946 1.45225e-15 1.25658e-15 9.90725e-16 7.13503e-16
74.9894 1.39136e-15 1.20699e-15 9.47188e-16 6.85256e-16
79.4328 1.3328e-15 1.15907e-15 9.05418e-16 6.57942e-16
84.1395 1.2765e-15 1.11278e-15 8.65354e-16 6.31546e-16
89.1251 1.22239e-15 1.06809e-15 8.26935e-16 6.06048e-16
94.4061 1.17039e-15 1.02497e-15 7.90102e-16 5.81429e-16
100 1.12043e-15 9.83374e-16 7.54797e-16 5.57663e-16
105.925 1.07245e-15 9.43265e-16 7.20966e-16 5.34752e-16
112.202 1.02638e-15 9.04604e-16 6.88553e-16 5.12654e-16
118.85 9.82151e-16 8.67353e-16 6.57506e-16 4.91355e-16
