# t 
100  3.79248e-18 1.7993e-06 2.08744e-06
316.228  7.35611e-18 5.24942e-07 5.34955e-07
1000  1.27913e-17 1.51564e-07 1.33829e-07
3162.28  2.50877e-17 4.87808e-08 4.12492e-08
10000  4.37404e-17 1.39746e-08 1.00759e-08
